id;type;title;subtitle;author;publication_date;publisher_id;place;editor
205;book;Der Sturm. Dreizehnte Ausstellung. Alfred Réth, Julie Baum Gedächtnisausstellung;\N;\N;1913-00-00;51;Berlin;\N
206;book;Der Sturm. Vierzehnte Ausstellung. Franz Marc;Gemälde;\N;1913-00-00;51;Berlin;\N
207;book;Der Sturm. Fünfzehnte Ausstellung. Der Moderne Bund Schweiz;Gemälde / Graphik;\N;1913-00-00;51;Berlin;\N
208;book;Der Sturm;Sechzehnte Ausstellung. Gemälde und Zeichnungen des Futuristen Gino Severini;\N;1913-00-00;51;Berlin;\N
209;book;Der Sturm. Siebzehnte Ausstellung. Alexandre Archipenko;\N;\N;1913-00-00;51;Berlin;\N
210;book;Der Sturm;Erster Deutscher Herbstsalon;\N;1913-00-00;51;Berlin;\N
211;book;Der Sturm. Achtzehnte Ausstellung. Skupina / Prag;Emil Filla, Vincenc Benes, A.Prochazka, Otto Gutfreund, Gocar, Janak;\N;1913-00-00;51;Berlin;\N
212;book;Der Sturm. Neunzehnte Ausstellung. Expressionisten / Kubisten / Futuristen;\N;\N;1913-00-00;51;Berlin;\N
213;book;Der Sturm. Neunundzwanzigste Ausstellung;\N;\N;1914-00-00;\N;\N;\N
214;book;Der Sturm. Dreiundzwanzigste Ausstellung;Jacoba van Heemskerck, Arthur Segal, Marianne von Werefkin;\N;1914-00-00;51;\N;\N
215;book;Der Sturm. Vierunddreissigste Ausstellung. Franz Marc;\N;\N;1915-00-00;51;Berlin;\N
216;book;Der Sturm. Vierundzwanzigste Ausstellung. Paul Klee;\N;\N;1914-00-00;51;Berlin;\N
217;book;Der Sturm;Fünfundzwanzigste Ausstellung. Otakar Kubin;\N;1914-00-00;51;Berlin;\N
218;book;Der Sturm. Sechsundzwanzigste Ausstellung. Marc Chagall;\N;\N;1914-00-00;51;Berlin;\N
219;book;Die Futuristen;\N;\N;1914-00-00;\N;\N;\N
220;book;Der Sturm. Dreissigste Ausstellung;\N;\N;1915-00-00;\N;\N;\N
221;book;Der Sturm. Einunddreissigste Ausstellung. Jacoba van Heemskerck;\N;\N;1915-00-00;\N;\N;\N
222;book;Der Sturm. Zweiunddreissigste Ausstellung. Schwedische Expressionisten;\N;\N;1915-00-00;51;Berlin;\N
223;book;Der Sturm. Fünfunddreissigste Ausstellung. Gabriele Münter;\N;\N;1915-00-00;\N;Berlin;\N
224;book;Sammlung Walden;Gemälde Zeichnungen Plastiken;\N;1915-00-00;\N;Berlin;\N
225;book;Der Sturm. Die Futuristen [28. Ausstellung];Umberto Boccioni, Carlo D. Carra, Luigi Russolo, Gino Severi;\N;1914-00-00;51;Berlin;\N
226;book;XV выставка картин Московскаго Товарищества Художников;\N;\N;1908-00-00;\N;\N;\N
227;book;Les Indépendants Cercle d'Art. Ve Salon annuel;\N;\N;1908-00-00;\N;\N;\N
228;book;XXIII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession;März-Mai Wien 1905;\N;1905-00-00;\N;\N;\N
229;book;XXVI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien;März-Mai 1906;\N;1906-00-00;\N;Vienna;\N
230;book;XXXI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien;Moderne Russische Kunst. Zusammengestellt von Alexander Filippoff;\N;1908-00-00;\N;Vienna;\N
231;book;XLIII. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien;\N;\N;1913-00-00;\N;Vienna;\N
232;book;Französische Meister;\N;\N;1913-00-00;\N;Vienna;\N
233;book;Französische Meister;\N;\N;1912-00-00;\N;Vienna;\N
234;book;Maler und Bildhauer der Berliner Sezession;\N;\N;1912-00-00;\N;Vienna;\N
235;book;Die Neue Kunst;\N;\N;1913-00-00;\N;Vienna;\N
236;book;Privatsammlung Dr. Oskar Reichel Wien;\N;\N;1913-00-00;\N;Vienna;\N
237;book;Französische Impressionisten;\N;\N;1913-00-00;24;Vienna;\N
238;book;Pablo Picasso;\N;\N;1914-00-00;24;Vienna;\N
239;book;Hagenbund. Katalog der zwanzigsten Ausstellung. Constantin Meunier;\N;\N;1906-00-00;17;Vienna;\N
240;book;Schwedische Künstler;\N;\N;1910-00-00;17;Vienna;\N
241;book;XXII. Ausstellung der Vereinigung bildend. Künstler Österreichs Secession. Plastik-Ausstellung;\N;\N;1905-00-00;\N;Vienna;\N
242;book;Kunstsalon Paul Cassirer. Die Ausstellungen 1905-1908;\N;\N;2013-00-00;\N;Wädenswil;Echte, Bernhard\; Feilchenfeldt, Walter
243;book;XVI выставка картин Московскаго Товарищества Художников;\N;\N;1908-00-00;63;\N;\N
