id;catalogueId;type;title;technique;measurements;creatordate;displaydate;style
241;F-403-c;20;1er acte, 3e tableau;Pencil on paper;17.7 x 22.2 cm;\N;Summer / Autumn 1913;49
242;F-403-d;20;Carré, 2e acte, 1er tableau;Pencil on paper;21 x 27 cm;\N;Summer / Autumn 1913;50
243;F-403-f;20;Maison, 2e acte, 6e tableau;Pencil on paper;21.1 x 27.2 cm;\N;Summer / Autumn 1913;\N
244;F-407-a;20;Plusieurs et un seul;Pencil, watercolour and indian ink on paper;27.1 x 21.2 cm;\N;1913;48
245;F-407-b;20;Lecteur;Pencil, watercolour, gouache and indian ink on paper;27.2 x 21.4 cm;\N;1913;48
246;F-407-d;20;Néron;Pencil on paper;27 x 21.5 cm;\N;1913;48
247;F-407-e;20;Malintentionné;Pencil, watercolour and indian ink on paper;27.3 x 21.3 cm;\N;1913;48
248;F-407-f;20;Grassouillet;Pencil, watercolour and indian ink on paper;27.2 x 21.2 cm;\N;1913;48
249;F-407-g;20;Ennemi;Pencil, watercolour and indian ink on paper;27.2 x 21.3 cm;1913;\N;48
250;F-407-h;20;Ancien;Pencil, watercolour and indian ink on paper;27 x 21 cm;\N;1913;48
251;F-407-i;20;Trouillard;Pencil, watercolour and indian ink on paper;26.9 x 21 cm;\N;1913;48
